Predict,Births
38.21927756315645,51
39.74485688988278,41
41.05277608135069,44
42.45055992819173,38
41.74403837995347,68
43.87023114889917,40
42.769064645877975,42
41.26477187047022,51
43.07025647063811,44
42.515202040278226,45
42.59140620429827,36
41.79743309387299,57
43.351909083347316,44
43.27251723513121,42
42.53274073067604,53
43.70227612592718,42
43.203843012369745,34
42.15664167174506,40
42.33242301921386,56
40.41450403972827,44
39.72850924760131,53
43.895071984302064,55
44.395445973375246,39
43.471735517816555,59
45.41573205572543,55
45.13661211752719,73
48.30982148662028,55
48.395426132553446,44
46.55235160233145,43
46.10672203775552,40
45.39389476690868,47
45.94208990175013,51
46.73167405430632,56
47.67216509619509,49
47.30818873365943,54
47.88184515236614,56
48.736761249211874,47
47.90507689072629,44
47.202988997460736,43
46.81607978326156,42
46.37871016514409,45
46.502964672652666,50
47.1661691995577,48
47.1171905957803,43
46.38850579756325,40
45.672392617654154,59
47.84431334920404,41
46.54538329097676,42
45.83257183989583,51
46.16274543737286,49
47.667677034276586,45
45.67737583541111,43
46.94045599694434,42
45.049702183951,38
45.83649512389679,47
45.21454444867768,38
44.797303391013244,36
43.413213313399396,42
44.223022547839435,35
43.105459405084645,28
40.97549069579786,44
42.48074321325864,36
41.463101112964274,45
42.26106401202681,46
42.93159832566934,48
43.50042319787768,49
44.062770740435134,43
43.45194325327667,42
43.07904783057219,59
45.496072841507676,45
44.68320656268387,52
45.1951686930351,46
44.98336265128436,42
44.201814108374116,40
43.671638241841094,40
43.41132457919878,45
43.93917747244284,35
42.7518647910547,35
41.92963826849852,40
42.30816556286414,39
42.19851822895324,33
41.04569231412619,42
41.723986954622376,47
42.83904521947124,51
43.86240099566469,44
43.28579354910742,40
42.422861049858604,57
44.673081770104346,49
44.70692631655366,45
44.008844391242626,49
44.478288377633085,51
45.105747433489945,46
44.68870666865102,44
44.23367230004771,52
45.53616449014053,45
44.805416058479665,32
42.645205952651814,46
43.934277318422886,41
43.41675959945873,34
42.72196493109055,33
41.360733131469686,36
41.21828875587953,49
43.08526673701705,43
42.80714951962058,43
42.862824630548424,34
41.4819625862477,39
41.681908907394806,35
40.91603659674828,52
43.23268442388387,47
43.448370193059624,52
44.32179948678315,39
42.76502777805007,40
42.22681635368118,42
42.46281768661024,42
42.514662650436826,53
44.16457595918632,39
42.8136268502984,40
42.249683251128786,38
41.89589914505486,44
42.557118264733084,34
41.354233349201195,37
41.08252460375452,52
43.3028462917867,48
43.58311366040181,55
44.70276556204892,50
