Predict,Births
40.629745847054004,51
41.63214711093558,41
40.67195860213187,44
40.90408478546662,38
40.284251730493594,68
43.29413098575424,40
41.02461828370227,42
40.83144664727441,51
42.12196530106901,44
42.00181784932925,45
42.020447668716216,36
41.24474615484628,57
43.02365652373902,44
43.049921453481296,42
42.98312214101029,53
43.41665970504329,42
43.32871660914182,34
42.89161233423196,40
42.75716270513228,56
43.26385607507213,44
43.277176462626954,53
43.680715023738145,55
44.19979761172346,39
43.9184919125712,59
44.636204998308216,55
45.204387716098154,73
47.16427612601521,55
47.954528980635864,44
47.500647525627784,43
47.0691502797362,40
46.503531844269034,47
46.50839396650332,51
46.77839477059844,56
47.38729657836701,49
47.47450622450362,54
47.92171886551365,56
48.514037548920236,47
48.36039408551749,44
48.00300220941299,43
47.625794819501664,42
47.22961562914901,45
47.06006315729297,50
47.21024792961051,48
47.229016762344884,43
46.94030599965365,40
46.486385307383934,59
47.20046666488729,41
46.80309479431033,42
46.48855087899569,51
46.72657440916477,49
46.831595703264696,45
46.697421993895134,43
46.45215874177802,42
46.155143409274345,38
45.59630441304861,47
45.6622669721411,38
45.077580016640326,36
44.225825777990835,42
43.95242466960669,35
42.88030244056105,28
40.90280609439079,44
41.337992753130884,36
40.695364721796956,45
41.20920895150576,46
41.6996853700705,48
42.26832025128095,49
42.8094919079293,43
42.793361613010084,42
42.70100062746741,59
43.877285890875186,45
43.912942885486466,52
44.414587465928335,46
44.47601519162212,42
44.26790919068445,40
43.94105461921454,40
43.63300584071114,45
43.692450355959444,35
43.04501989289284,35
42.391315804635326,40
42.16827399646,39
41.87562877365972,33
41.018898639896236,42
41.13209450198126,47
41.67599502937608,51
42.39133224240018,44
42.484528126211735,40
42.289283764701906,57
43.263016502278575,49
43.60584437779283,45
43.66139720197315,49
43.9863815444113,51
44.45788334212954,46
44.527489963160484,44
44.42949874855709,52
44.98424528060512,45
44.916957209436745,32
43.88458773770263,46
43.987659252678775,41
43.74127742900937,34
43.011591001282284,33
41.982842285356064,36
40.6259422669409,49
42.21188273077179,43
42.27238552713312,43
42.32046053035765,34
41.49146932743928,39
41.17366470872395,35
40.414866198929374,52
41.805772663767655,47
42.20716860698762,52
42.869234824832205,39
42.58715319365435,40
42.39356489766871,42
42.34985583699821,42
42.30995617861282,53
42.994197409438684,39
42.71285636620636,40
42.51892922184117,38
42.20862258009192,44
42.31406344833143,34
41.746818736799746,37
41.39097741305755,52
42.144619885934894,48
42.494680025251604,55
43.23303089353985,50
