Predict,Births
38.16882343837992,51
42.17214549521598,41
41.11909678068654,44
41.536747872311246,38
42.81588601998449,68
41.82006731555741,40
40.41237052341407,42
41.6488078914868,51
41.94710580332771,44
42.82939051743806,45
42.57288242506244,36
41.27166172145917,57
43.464598662103704,44
42.60225935134306,42
43.30484961330171,53
43.32786771937208,42
43.321883854432016,34
42.54148410778226,40
42.98261269898257,56
43.42334621473716,44
43.10138991765356,53
44.06419499833921,55
44.10148799510129,39
43.768382154696,59
45.15635288130058,55
44.93577127554195,73
48.095024984839405,55
47.01944004662781,44
48.07341626492742,43
46.223659018500946,40
47.0533605770604,47
45.89940882214002,51
47.44724890353618,56
46.89893658983222,49
47.90360963606986,54
47.578124697754085,56
49.003023453475365,47
47.712087996554324,44
48.408998932075995,43
47.00173422385702,42
47.636102502625604,45
46.554076046398876,50
47.77710127852116,48
46.65456982375406,43
47.342550862431395,40
45.85195784008168,59
48.165845436342536,41
45.6976671201787,42
47.43642381089672,51
45.90040812958993,49
47.704105974882,45
45.76218692492742,43
47.2789301441891,42
45.23405034106977,38
46.35051351420234,47
45.00119954493207,38
45.59967236705175,36
43.556044815536445,42
44.74265780875469,35
42.088889956159356,28
41.57943183602216,44
41.05678022912693,36
41.08565635087039,45
41.15498170999864,46
42.084842224656185,48
42.208632647266974,49
43.180657110975694,43
42.50467852063928,42
43.03206351205577,59
44.13556355638501,45
43.72698088424593,52
44.84363609914522,46
44.09677271225084,42
44.55311779995582,40
43.54176892224805,40
43.96022237704239,45
43.48053029784336,35
43.05191723084789,35
42.23346599967073,40
42.420706786077766,39
41.705136459833874,33
41.12159544672376,42
41.31426114413598,47
41.8912779294294,51
42.59457951498439,44
42.384144786969834,40
42.342683569444496,57
43.73868079084196,49
43.30467270615139,45
43.930379119414326,49
43.82453392442032,51
44.73991613036412,46
44.13095544439461,44
44.65192285318937,52
44.85170656162528,45
44.85474297427554,32
43.391482542649925,46
44.55080275541336,41
43.12230879599584,34
43.38264554491644,33
41.640292495115716,36
41.951910273114436,49
42.19489516093671,43
42.601534206145686,43
42.227287737664355,34
41.63405564542583,39
41.48203616044056,35
40.53729051232944,52
42.52363818986867,47
41.8369897146854,52
43.606027589421494,39
41.734450781923954,40
43.18892844978489,42
41.61901828331582,42
43.09816951799588,53
42.59118682989623,39
42.96589480457746,40
42.17141960141578,38
42.45813386887559,44
42.20355361445708,34
41.655165220858095,37
41.462524823177674,52
42.601658896803066,48
42.29523906167464,55
43.836298899030766,50
