Predict,Births
36.43981102853451,51
54.83201627318295,41
43.44898150292883,44
38.483610717646684,38
37.90033360646956,68
74.36922263009568,40
51.416297505305195,42
23.80578208807598,51
55.446558866227484,44
47.57690116271969,45
40.72591736971128,36
33.585756338777216,57
58.16706752650728,44
53.80106907305398,42
32.6695024708319,53
55.46452314997784,42
45.59685426974132,34
23.977876658512248,40
36.79387295582683,56
65.54351101005304,44
50.439844742306434,53
48.17776655319768,55
61.64745930861043,39
34.74857181105934,59
55.256207781053405,55
66.91922026282731,73
76.48533683997238,55
61.09766006779634,44
28.300693841137594,43
35.38584804516276,40
38.32112323405767,47
47.43919271013083,51
57.02532918649287,56
60.38517760150324,49
49.912844130637836,54
51.0987718273502,56
60.012488086520335,47
45.23211220071272,44
37.03279389478895,43
40.68898118357844,42
41.00958775961357,45
45.39224196671623,50
53.725057535614525,48
50.6249004195179,43
39.96431277876478,40
35.67871656180557,59
63.63213504525743,41
47.52795880439004,42
30.429615049447243,51
54.806010566055505,49
54.24403535170025,45
42.30582493293707,43
39.68958757824849,42
40.35227718769217,38
35.96278796012888,47
47.52049613176317,38
40.82417008466835,36
29.398831402250124,42
42.79494829806514,35
36.522283870069714,28
20.975543886143903,44
45.01506522671253,36
43.77701204802423,45
42.861227200174284,46
52.28638557255827,48
49.367323042221926,49
50.67757575060722,43
41.58608011841265,42
37.719545658687366,59
64.28927860710601,45
51.42241196877518,52
45.17084677619205,46
48.57191001875132,42
36.673067135421284,40
36.68390926426735,40
38.69467773959616,45
46.743156576220045,35
34.86281412723958,35
28.412212893588954,40
41.746167136084615,39
41.96177277067248,33
30.273532877813494,42
41.176035087464484,47
54.67087650897723,51
55.69174911866156,44
44.21055745008644,40
34.02185873400853,57
60.321084510662196,49
57.44718952860279,45
38.37186454917659,49
47.79533425653805,51
54.332084665832355,46
45.56769559761549,44
40.04068873828035,52
53.51608618449613,45
47.798464670152754,32
22.859732003972372,46
42.43798042962791,41
48.4130639891399,34
28.279903339045898,33
28.102861328270865,36
36.42622140049505,49
55.57899232486551,43
49.355230821775905,43
39.11419098875092,34
30.820014945864056,39
34.923364642796685,35
36.85169085156697,52
55.39121982204161,47
56.388146542068554,52
50.50199341704174,39
37.73578286716706,40
31.844356051687434,42
43.36815509108443,42
43.3194266132383,53
56.871969616624675,39
41.34716148502383,40
31.182215250933243,38
37.966277354921786,44
44.80240707997759,34
34.456257344359685,37
31.496421571762163,52
59.2435730212832,48
56.43123962357794,55
54.846541852003945,50
